OID_,Value,Count,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,FRG_NEW,R,G,B,RED,GREEN,BLUE,Field1,OID1,Value_1,Count_1,BPS_CODE_1,ZONE_1,BPS_MODEL_1,BPS_NAME_1,GROUPVEG_1,FRI_REPLAC_1,FRI_MIXED_1,FRI_SURFAC_1,FRI_ALLFIR_1,PRC_REPLAC_1,PRC_MIXED_1,PRC_SURFAC_1,FRG_NEW_1,R_1,G_1,B_1,RED_1,GREEN_1,BLUE_1,SI_FRG
1173,1611,186.000000000000000,14920,41,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,122,245,202,0.478431000000000,0.960784000000000,0.792157000000000,51,,1611,2262,14920,41,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,122,245,202,0.478431000000000,0.960784000000000,0.792157000000000,NA
1174,1612,2538749.000000000000000,14930,41,14930_41_42_44_50,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Riparian,17,-9999,-9999,17,100,-9999,-9999,II-C,240,150,20,0.941176000000000,0.588235000000000,0.078431000000000,52,,1612,2605159,14930,41,14930_41_42_44_50,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Riparian,17,-9999,-9999,17,100,-9999,-9999,II-C,240,150,20,0.941176000000000,0.588235000000000,0.078431000000000,Frequent
1175,1613,4264237.000000000000000,14940,41,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,18,-9999,-9999,18,100,-9999,-9999,II-C,0,168,107,0.000000000000000,0.658824000000000,0.419608000000000,53,,1613,4417560,14940,41,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,18,-9999,-9999,18,100,-9999,-9999,II-C,0,168,107,0.000000000000000,0.658824000000000,0.419608000000000,Frequent
1207,1645,625.000000000000000,11620,40,11620_31_39_40,Western Great Plains Floodplain Systems,Riparian,250,94,196,51,20,54,26,III-A,102,153,205,0.400000000000000,0.600000000000000,0.803922000000000,82,,1645,625,11620,40,11620_31_39_40,Western Great Plains Floodplain Systems,Riparian,250,94,196,51,20,54,26,III-A,102,153,205,0.400000000000000,0.600000000000000,0.803922000000000,Intermediate
1208,1646,366950.000000000000000,13010,40,13010_40,Boreal Aspen-Birch Forest,Conifer,82,-9999,-9999,82,100,-9999,-9999,IV-A,255,245,56,1.000000000000000,0.960784000000000,0.219608000000000,83,,1646,366950,13010,40,13010_40,Boreal Aspen-Birch Forest,Conifer,82,-9999,-9999,82,100,-9999,-9999,IV-A,255,245,56,1.000000000000000,0.960784000000000,0.219608000000000,Intermediate
1209,1647,903.000000000000000,13020,40,13020_40,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,2109,-9999,-9999,2109,100,-9999,-9999,V-B,76,230,0,0.298039000000000,0.901961000000000,0.000000000000000,84,,1647,903,13020,40,13020_40,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,2109,-9999,-9999,2109,100,-9999,-9999,V-B,76,230,0,0.298039000000000,0.901961000000000,0.000000000000000,Rare
1210,1648,531024.000000000000000,13140,40,13140_38_39_40_41_42_43_44_50,North-Central Interior Maple-Basswood Forest,Hardwood,1027,-9999,857,467,46,-9999,54,V-A,237,161,102,0.929412000000000,0.631373000000000,0.400000000000000,85,,1648,531024,13140,40,13140_38_39_40_41_42_43_44_50,North-Central Interior Maple-Basswood Forest,Hardwood,1027,-9999,857,467,46,-9999,54,V-A,237,161,102,0.929412000000000,0.631373000000000,0.400000000000000,Rare
1211,1649,1351614.000000000000000,13310,40,13310_39_40_41,Eastern Great Plains Tallgrass Aspen Parkland,Hardwood,16,-9999,8,6,35,-9999,65,I-B,220,240,0,0.862745000000000,0.941176000000000,0.000000000000000,86,,1649,1351614,13310,40,13310_39_40_41,Eastern Great Plains Tallgrass Aspen Parkland,Hardwood,16,-9999,8,6,35,-9999,65,I-B,220,240,0,0.862745000000000,0.941176000000000,0.000000000000000,Frequent
1212,1650,114444.000000000000000,13651,40,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,250,1468,-9999,213,85,15,-9999,V-A,147,194,114,0.576471000000000,0.760784000000000,0.447059000000000,87,,1650,114444,13651,40,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,250,1468,-9999,213,85,15,-9999,V-A,147,194,114,0.576471000000000,0.760784000000000,0.447059000000000,Rare
1214,1652,1130534.000000000000000,13940,40,13940_39_40_41,North-Central Interior Oak Savanna,Hardwood,550,165,5,5,1,3,96,I-A,230,213,138,0.901961000000000,0.835294000000000,0.541176000000000,88,,1652,1130534,13940,40,13940_39_40_41,North-Central Interior Oak Savanna,Hardwood,550,165,5,5,1,3,96,I-A,230,213,138,0.901961000000000,0.835294000000000,0.541176000000000,Frequent
