Value,Count,BPS_CODE,BPS_NAME,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,R,G,B,RED,GREEN,BLUE
1641,12414.000000000000000,14940,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,18,-9999,-9999,18,0,168,107,0.000000000000000,0.658824000000000,0.419608000000000
1645,625.000000000000000,11620,Western Great Plains Floodplain Systems,250,94,196,51,102,153,205,0.400000000000000,0.600000000000000,0.803922000000000
1646,366885.000000000000000,13010,Boreal Aspen-Birch Forest,82,-9999,-9999,82,255,245,56,1.000000000000000,0.960784000000000,0.219608000000000
1647,902.000000000000000,13020,Laurentian-Acadian Northern Hardwoods Forest,2109,-9999,-9999,2109,76,230,0,0.298039000000000,0.901961000000000,0.000000000000000
1648,531014.000000000000000,13140,North-Central Interior Maple-Basswood Forest,1027,-9999,857,467,237,161,102,0.929412000000000,0.631373000000000,0.400000000000000
1649,1351310.000000000000000,13310,Eastern Great Plains Tallgrass Aspen Parkland,16,-9999,8,6,220,240,0,0.862745000000000,0.941176000000000,0.000000000000000
1650,114427.000000000000000,13651,Boreal White Spruce-Fir-Hardwood Forest-Inland,250,1468,-9999,213,147,194,114,0.576471000000000,0.760784000000000,0.447059000000000
1652,1130520.000000000000000,13940,North-Central Interior Oak Savanna,550,165,5,5,230,213,138,0.901961000000000,0.835294000000000,0.541176000000000
1653,1712380.000000000000000,14120,North-Central Interior Sand and Gravel Tallgrass Prairie,4,-9999,87,3,214,0,157,0.839216000000000,0.000000000000000,0.615686000000000
1654,18714454.000000000000000,14200,Northern Tallgrass Prairie,6,-9999,-9999,6,184,132,29,0.721569000000000,0.517647000000000,0.113725000000000
1655,425933.000000000000000,14690,Eastern Great Plains Floodplain Systems,517,77,176,48,75,170,190,0.294118000000000,0.666667000000000,0.745098000000000
1656,2621808.000000000000000,14770,Boreal Acidic Peatland Systems,716,-9999,123,105,106,0,138,0.415686000000000,0.000000000000000,0.541176000000000
1657,1140329.000000000000000,14820,Great Plains Prairie Pothole,50,-9999,-9999,50,156,100,163,0.611765000000000,0.392157000000000,0.639216000000000
1658,18437.000000000000000,14950,Western Great Plains Depressional Wetland Systems,20,-9999,-9999,20,104,0,156,0.407843000000000,0.000000000000000,0.611765000000000
1659,25458.000000000000000,10130,Western Great Plains Dry Bur Oak Forest and Woodland,300,44,30,17,220,0,0,0.862745000000000,0.000000000000000,0.000000000000000
1660,525376.000000000000000,11410,Northwestern Great Plains Mixedgrass Prairie,8,-9999,-9999,8,215,255,232,0.843137000000000,1.000000000000000,0.909804000000000
1663,273712.000000000000000,13100,North-Central Interior Dry-Mesic Oak Forest and Woodland,112,43,47,19,176,163,222,0.690196000000000,0.639216000000000,0.870588000000000
1664,44308.000000000000000,13110,North-Central Interior Dry Oak Forest and Woodland,77,85,19,13,179,207,143,0.701961000000000,0.811765000000000,0.560784000000000
1665,339870.000000000000000,13140,North-Central Interior Maple-Basswood Forest,1027,-9999,857,467,237,161,102,0.929412000000000,0.631373000000000,0.400000000000000
1667,104917.000000000000000,13850,Western Great Plains Wooded Draw and Ravine,91,65,230,32,168,168,0,0.658824000000000,0.658824000000000,0.000000000000000
1668,173599.000000000000000,13940,North-Central Interior Oak Savanna,550,165,5,5,230,213,138,0.901961000000000,0.835294000000000,0.541176000000000
1669,1965262.000000000000000,14120,North-Central Interior Sand and Gravel Tallgrass Prairie,4,-9999,87,3,214,0,157,0.839216000000000,0.000000000000000,0.615686000000000
1670,45819720.000000000000000,14200,Northern Tallgrass Prairie,6,-9999,-9999,6,184,132,29,0.721569000000000,0.517647000000000,0.113725000000000
1671,2337892.000000000000000,14690,Eastern Great Plains Floodplain Systems,517,77,176,48,75,170,190,0.294118000000000,0.666667000000000,0.745098000000000
1672,516063.000000000000000,14820,Great Plains Prairie Pothole,50,-9999,-9999,50,156,100,163,0.611765000000000,0.392157000000000,0.639216000000000
1673,8744.000000000000000,14950,Western Great Plains Depressional Wetland Systems,20,-9999,-9999,20,104,0,156,0.407843000000000,0.000000000000000,0.611765000000000
1804,48371.000000000000000,13150,Southern Appalachian Oak Forest,604,138,16,14,181,227,194,0.709804000000000,0.890196000000000,0.760784000000000
1805,5987032.000000000000000,13160,Southern Piedmont Mesic Forest,510,348,52,42,99,199,125,0.388235000000000,0.780392000000000,0.490196000000000
1806,7189.000000000000000,13180,Southern and Central Appalachian Cove Forest,994,498,100,77,138,177,255,0.541176000000000,0.694118000000000,1.000000000000000
1807,344.000000000000000,13420,Piedmont Hardpan Woodland and Forest,308,333,5,5,237,94,54,0.929412000000000,0.368627000000000,0.211765000000000
1808,15.000000000000000,13510,Southeastern Interior Longleaf Pine Woodland,552,299,3,3,143,161,26,0.560784000000000,0.631373000000000,0.101961000000000
1809,5188.000000000000000,13520,Southern Appalachian Montane Pine Forest and Woodland,88,101,5,5,117,71,197,0.458824000000000,0.278431000000000,0.772549000000000
1810,39423.000000000000000,13530,Southern Appalachian Low-Elevation Pine Forest,153,66,9,7,255,200,97,1.000000000000000,0.784314000000000,0.380392000000000
1811,19242703.000000000000000,13680,Southern Piedmont Dry Oak(-Pine) Forest,325,235,5,5,211,186,255,0.827451000000000,0.729412000000000,1.000000000000000
1812,1269609.000000000000000,14710,Central Interior and Appalachian Floodplain Systems,613,392,121,80,0,191,176,0.000000000000000,0.749020000000000,0.690196000000000
1813,1830031.000000000000000,14720,Central Interior and Appalachian Riparian Systems,997,-9999,202,168,36,255,20,0.141176000000000,1.000000000000000,0.078431000000000
1814,66097.000000000000000,13090,Southern Appalachian Northern Hardwood Forest,681,665,341,169,163,156,46,0.639216000000000,0.611765000000000,0.180392000000000
1815,2602420.000000000000000,13150,Southern Appalachian Oak Forest,604,138,16,14,181,227,194,0.709804000000000,0.890196000000000,0.760784000000000
1817,5528253.000000000000000,13170,Allegheny-Cumberland Dry Oak Forest and Woodland,123,59,15,11,186,184,148,0.729412000000000,0.721569000000000,0.580392000000000
1818,1790078.000000000000000,13180,Southern and Central Appalachian Cove Forest,994,498,100,77,138,177,255,0.541176000000000,0.694118000000000,1.000000000000000
