"","OID_","Value","Count","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","SI_FRG"
"73",1195,1633,405140,14440,51,"14440_41_50_51","Eastern Boreal Floodplain","Hardwood",-9999,581,312,203,-9999,35,65,"V-A",69,69,156,0.270588,0.270588,0.611765,"Rare"
"74",1196,1634,62226,14660,51,"14660_50_51","Great Lakes Wooded Dune and Swale","Riparian",3715,536,-9999,468,13,87,-9999,"V-A",181,0,0,0.709804,0,0,"Rare"
"75",1197,1635,4817242,14710,51,"14710_51_62","Central Interior and Appalachian Floodplain Systems","Riparian",-9999,429,67,58,-9999,14,86,"III-A",0,191,176,0,0.74902,0.690196,"Intermediate"
"76",1198,1636,1160080,14750,51,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",-9999,435,68,59,-9999,14,86,"III-A",122,143,245,0.478431,0.560784,0.960784,"Intermediate"
"77",1199,1637,6256178,14770,51,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,-9999,123,105,15,-9999,85,"III-B",106,0,138,0.415686,0,0.541176,"Intermediate"
"78",1200,1638,2561094,14790,51,"14790_41_42_47_48_50_51_53","Central Interior and Appalachian Swamp Systems","Riparian",987,-9999,-9999,987,100,-9999,-9999,"V-B",207,61,255,0.811765,0.239216,1,"Rare"
"79",1201,1639,16962669,14810,51,"14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Riparian",989,-9999,-9999,989,100,-9999,-9999,"V-B",232,189,255,0.909804,0.741176,1,"Rare"
"80",1202,1640,193347,14920,51,"14920_41_50_51_52_63","Great Lakes Coastal Marsh Systems","Riparian",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",122,245,202,0.478431,0.960784,0.792157,"NA"
"81",1203,1641,11953,14940,51,"14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",18,-9999,-9999,18,100,-9999,-9999,"II-C",0,168,107,0,0.658824,0.419608,"Frequent"
"82",1207,1645,625,11620,40,"11620_31_39_40","Western Great Plains Floodplain Systems","Riparian",250,94,196,51,20,54,26,"III-A",102,153,205,0.4,0.6,0.803922,"Intermediate"
"83",1208,1646,366950,13010,40,"13010_40","Boreal Aspen-Birch Forest","Conifer",82,-9999,-9999,82,100,-9999,-9999,"IV-A",255,245,56,1,0.960784,0.219608,"Intermediate"
"84",1209,1647,903,13020,40,"13020_40","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",2109,-9999,-9999,2109,100,-9999,-9999,"V-B",76,230,0,0.298039,0.901961,0,"Rare"
"85",1210,1648,531024,13140,40,"13140_38_39_40_41_42_43_44_50","North-Central Interior Maple-Basswood Forest","Hardwood",1027,-9999,857,467,46,-9999,54,"V-A",237,161,102,0.929412,0.631373,0.4,"Rare"
"86",1211,1649,1351614,13310,40,"13310_39_40_41","Eastern Great Plains Tallgrass Aspen Parkland","Hardwood",16,-9999,8,6,35,-9999,65,"I-B",220,240,0,0.862745,0.941176,0,"Frequent"
"87",1212,1650,114444,13651,40,"13651_40_41_50","Boreal White Spruce-Fir-Hardwood Forest-Inland","Conifer",250,1468,-9999,213,85,15,-9999,"V-A",147,194,114,0.576471,0.760784,0.447059,"Rare"
"88",1214,1652,1130534,13940,40,"13940_39_40_41","North-Central Interior Oak Savanna","Hardwood",550,165,5,5,1,3,96,"I-A",230,213,138,0.901961,0.835294,0.541176,"Frequent"
"89",1215,1653,1712522,14120,40,"14120_39_40_41_42_43_50_51","North-Central Interior Sand and Gravel Tallgrass Prairie","Grassland",4,-9999,87,3,96,-9999,4,"II-A",214,0,157,0.839216,0,0.615686,"Frequent"
"90",1216,1654,18714555,14200,40,"14200_39_40_42","Northern Tallgrass Prairie","Grassland",6,-9999,-9999,6,100,-9999,-9999,"II-B",184,132,29,0.721569,0.517647,0.113725,"Frequent"
